timestep cumulative_finished interval_finished
100 0 0
200 5 5
300 19 14
400 29 10
500 36 7
600 43 7
700 54 11
800 63 9
900 71 8
1000 80 9
1100 90 10
1200 94 4
1300 99 5
1400 105 6
1500 107 2
1600 110 3
1700 118 8
1800 126 8
1900 138 12
2000 146 8
2100 148 2
2200 150 2
2300 153 3
2400 159 6
2500 161 2
2600 164 3
2700 168 4
2800 170 2
2900 171 1
3000 177 6
