timestep cumulative_finished interval_finished
100 0 0
200 1 1
300 5 4
400 15 10
500 20 5
600 26 6
700 36 10
800 43 7
900 47 4
1000 48 1
1100 54 6
1200 59 5
1300 62 3
1400 64 2
1500 64 0
1600 67 3
1700 69 2
1800 76 7
1900 82 6
2000 85 3
2100 86 1
2200 88 2
2300 91 3
2400 96 5
2500 98 2
2600 100 2
2700 105 5
2800 107 2
2900 112 5
3000 115 3
