timestep cumulative_finished interval_finished
100 0 0
200 2 2
300 4 2
400 13 9
500 28 15
600 37 9
700 50 13
800 59 9
900 72 13
1000 80 8
1100 84 4
1200 93 9
1300 101 8
1400 106 5
1500 110 4
1600 116 6
1700 125 9
1800 128 3
1900 136 8
2000 142 6
2100 152 10
2200 159 7
2300 171 12
2400 181 10
2500 189 8
2600 195 6
2700 202 7
2800 209 7
2900 216 7
3000 220 4
