timestep cumulative_finished interval_finished
100 0 0
200 7 7
300 17 10
400 32 15
500 41 9
600 51 10
700 63 12
800 69 6
900 74 5
1000 80 6
1100 85 5
1200 89 4
1300 93 4
1400 96 3
1500 103 7
1600 109 6
1700 115 6
1800 121 6
1900 131 10
2000 139 8
2100 144 5
2200 149 5
2300 155 6
2400 158 3
2500 160 2
2600 161 1
2700 166 5
2800 173 7
2900 176 3
3000 177 1
